timestamp,badge_id,door,result
2026-08-01T10:20:33,B1003,D1,granted
2026-08-01T10:32:55,B1003,D1,granted
2026-08-01T11:13:20,B1004,D1,granted
2026-08-01T11:33:57,B1006,D1,granted
2026-08-01T11:49:04,B1008,D1,granted
2026-08-01T13:12:24,B1002,D1,granted
2026-08-01T14:01:06,B1001,D2,granted
2026-08-01T14:13:38,B1004,D1,granted
2026-08-01T16:07:13,B1002,D2,granted
2026-08-01T16:22:55,B1006,D1,granted
2026-08-01T18:02:52,B1007,D1,granted
2026-08-01T23:41:07,B1005,D3,granted
2026-08-02T02:18:33,B1005,D3,granted
2026-08-02T09:15:28,B1002,D1,granted
2026-08-02T10:10:15,B1001,D3,granted
2026-08-02T11:26:14,B1003,D1,granted
2026-08-02T11:55:20,B1006,D1,granted
2026-08-02T13:20:01,B1007,D2,granted
2026-08-02T14:43:47,B1002,D2,granted
2026-08-02T15:42:13,B1001,D1,granted
2026-08-02T17:19:45,B1008,D1,granted
2026-08-02T17:49:16,B1001,D1,granted
2026-08-02T18:02:30,B1008,D1,granted
2026-08-02T19:02:40,B1002,D1,granted
2026-08-02T19:15:02,B1008,D1,granted
2026-08-02T19:45:27,B1004,D1,granted
2026-08-02T21:30:22,B1003,D1,granted
2026-08-02T22:15:03,B1003,D3,denied
2026-08-03T01:55:12,B1005,D3,granted
2026-08-03T08:29:47,B1003,D1,granted
2026-08-03T09:13:28,B1006,D1,granted
2026-08-03T09:13:45,B1002,D2,granted
2026-08-03T09:43:39,B1008,D1,granted
2026-08-03T11:11:21,B1002,D2,granted
2026-08-03T11:47:29,B1001,D1,granted
2026-08-03T12:12:14,B1003,D1,granted
2026-08-03T13:26:48,B1004,D2,granted
2026-08-03T13:50:29,B1007,D2,granted
2026-08-03T14:12:31,B1004,D1,granted
2026-08-03T14:55:44,B1001,D3,granted
2026-08-03T15:07:56,B1006,D1,granted
2026-08-03T15:25:44,B1008,D1,granted
2026-08-03T16:16:22,B1007,D2,granted
2026-08-03T16:48:56,B1001,D2,granted
2026-08-03T17:01:45,B1004,D2,granted
2026-08-03T17:30:12,B1006,D1,granted
2026-08-03T19:46:54,B1003,D1,granted
2026-08-03T22:09:40,B1005,D2,granted
2026-08-04T06:40:11,B1006,D2,denied
2026-08-04T07:12:05,B1006,D1,granted
2026-08-04T08:44:20,B1003,D1,granted
2026-08-04T09:03:58,B1002,D2,granted
2026-08-04T10:32:51,B1006,D1,granted
2026-08-04T10:45:21,B1001,D3,granted
2026-08-04T11:14:05,B1004,D2,granted
2026-08-04T12:50:10,B1006,D1,granted
2026-08-04T14:54:48,B1007,D2,granted
2026-08-04T15:21:23,B1001,D1,granted
2026-08-04T15:44:35,B1006,D1,granted
2026-08-04T16:24:00,B1008,D1,granted
2026-08-04T17:49:46,B1002,D1,granted
2026-08-04T18:29:34,B1007,D2,granted
2026-08-04T18:55:20,B1002,D2,granted
2026-08-04T19:34:03,B1007,D1,granted
2026-08-05T03:27:51,B1005,D3,granted
2026-08-05T09:12:11,B1006,D1,granted
2026-08-05T10:03:21,B1002,D1,granted
2026-08-05T10:21:01,B1004,D1,granted
2026-08-05T11:31:35,B1008,D1,granted
2026-08-05T13:03:54,B1008,D1,granted
2026-08-05T15:51:58,B1004,D2,granted
2026-08-05T16:29:39,B1001,D2,granted
2026-08-05T17:42:14,B1007,D1,granted
2026-08-05T17:47:01,B1003,D1,granted
2026-08-05T18:07:14,B1002,D2,granted
2026-08-05T18:11:25,B1004,D2,granted
2026-08-05T19:04:49,B1001,D2,granted
2026-08-05T19:25:05,B1007,D1,granted
2026-08-05T19:27:28,B1008,D1,granted
2026-08-05T19:38:16,B1006,D1,granted
2026-08-05T23:05:44,B1008,D3,denied
2026-08-06T00:48:19,B1005,D3,granted
2026-08-06T11:35:57,B1004,D1,granted
2026-08-06T12:52:26,B1008,D1,granted
2026-08-06T17:20:12,B1001,D1,granted
2026-08-06T17:34:29,B1003,D1,granted
2026-08-06T18:31:11,B1007,D2,granted
2026-08-06T19:30:09,B1006,D1,granted
2026-08-06T19:34:20,B1006,D1,granted
2026-08-06T19:50:25,B1002,D1,granted
2026-08-06T20:01:00,B1002,D2,granted
2026-08-06T21:12:09,B1002,D3,denied
2026-08-07T08:28:27,B1004,D2,granted
2026-08-07T08:37:33,B1007,D2,granted
2026-08-07T09:15:30,B1003,D2,granted
2026-08-07T12:03:39,B1008,D1,granted
2026-08-07T12:14:54,B1002,D1,granted
2026-08-07T12:51:33,B1004,D1,granted
2026-08-07T12:58:52,B1007,D1,granted
2026-08-07T13:18:24,B1003,D1,granted
2026-08-07T14:21:09,B1007,D1,granted
2026-08-07T14:32:05,B1005,D1,granted
2026-08-07T16:48:31,B1006,D1,granted
2026-08-07T18:19:53,B1001,D1,granted
2026-08-07T19:06:55,B1003,D1,granted
2026-08-07T19:18:36,B1004,D1,granted
2026-08-07T19:35:21,B1006,D1,granted
